id,sensor_id,created_at,lat,lon,location_name,ts_utc,max_db,average_db
1,1,2026-01-10T00:21:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:21:00+00:00,53.39,45.13
2,1,2026-01-10T00:22:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:22:00+00:00,44.94,42.84
3,1,2026-01-10T00:23:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:23:00+00:00,52.86,46.92
4,1,2026-01-10T00:24:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:24:00+00:00,58.22,49.89
5,1,2026-01-10T00:25:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:25:00+00:00,57.9,50.5
6,1,2026-01-10T00:26:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:26:00+00:00,51.71,48.59
7,1,2026-01-10T00:27:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:27:00+00:00,52.97,47.52
8,1,2026-01-10T00:28:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:28:00+00:00,56.23,50.69
9,1,2026-01-10T00:29:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:29:00+00:00,54.34,46.74
10,1,2026-01-10T00:30:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:30:00+00:00,55.93,48.64
11,1,2026-01-10T00:31:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:31:00+00:00,51.04,46.58
12,1,2026-01-10T00:32:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:32:00+00:00,58.51,49.12
13,1,2026-01-10T00:33:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:33:00+00:00,49.0,45.47
14,1,2026-01-10T00:34:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:34:00+00:00,57.04,49.41
15,1,2026-01-10T00:35:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:35:00+00:00,54.47,48.12
16,1,2026-01-10T00:36:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:36:00+00:00,56.38,49.71
17,1,2026-01-10T00:37:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:37:00+00:00,54.56,47.69
18,1,2026-01-10T00:38:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:38:00+00:00,48.9,43.86
19,1,2026-01-10T00:39:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:39:00+00:00,51.07,45.9
20,1,2026-01-10T00:40:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:40:00+00:00,54.22,45.32
21,1,2026-01-10T00:41:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:41:00+00:00,53.12,46.63
22,1,2026-01-10T00:42:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:42:00+00:00,57.62,49.24
23,1,2026-01-10T00:43:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:43:00+00:00,54.87,46.29
24,1,2026-01-10T00:44:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:44:00+00:00,46.85,44.25
25,1,2026-01-10T00:45:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:45:00+00:00,55.09,48.67
26,1,2026-01-10T00:46:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:46:00+00:00,52.82,46.35
27,1,2026-01-10T00:47:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:47:00+00:00,54.0,46.63
28,1,2026-01-10T00:48:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:48:00+00:00,51.34,46.48
29,1,2026-01-10T00:49:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:49:00+00:00,53.19,48.6
30,1,2026-01-10T00:50:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:50:00+00:00,55.91,48.57
31,1,2026-01-10T00:51:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:51:00+00:00,51.84,47.11
32,1,2026-01-10T00:52:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:52:00+00:00,44.79,43.13
33,1,2026-01-10T00:53:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:53:00+00:00,52.05,44.85
34,1,2026-01-10T00:54:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:54:00+00:00,56.28,46.38
35,1,2026-01-10T00:55:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:55:00+00:00,52.36,49.16
36,1,2026-01-10T00:56:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:56:00+00:00,49.92,44.93
37,1,2026-01-10T00:57:00+00:00,44.2361944,-76.4898333,409 Barrie Street,2026-01-10T00:57:00+00:00,50.29,42.98
